ID,Product Choice
1,Product C
2,Product A
3,Product A
4,Product A
5,Product A
6,Product A
7,Product A
8,Product B
9,Product B
10,Product A
11,Product B
12,Product A
13,Product A
14,Product A
15,Product B
16,Product A
17,Product A
18,Product B
19,Product A
20,Product A
21,Product C
22,Product B
23,Product C
24,Product C
25,Product A
26,Product C
27,Product A
28,Product A
29,Product C
30,Product C
31,Product A
32,Product C
33,Product B
34,Product A
35,Product A
36,Product A
37,Product C
38,Product C
39,Product C
40,Product A
41,Product A
42,Product A
43,Product C
44,Product A
45,Product A
46,Product A
47,Product A
48,Product B
49,Product C
50,Product C
51,Product C
52,Product B
53,Product C
54,Product C
55,Product A
56,Product C
57,Product A
58,Product C
59,Product A
60,Product C
61,Product A
62,Product C
63,Product C
64,Product C
65,Product C
66,Product A
67,Product B
68,Product C
69,Product A
70,Product B
71,Product A
72,Product B
73,Product C
74,Product C
75,Product B
76,Product C
77,Product A
78,Product A
79,Product A
80,Product B
81,Product C
82,Product C
83,Product A
84,Product A
85,Product A
86,Product A
87,Product C
88,Product A
89,Product C
90,Product C
91,Product C
92,Product C
93,Product C
94,Product C
95,Product A
96,Product C
97,Product A
98,Product B
99,Product C
100,Product B
101,Product A
102,Product A
103,Product C
104,Product A
105,Product B
106,Product C
107,Product B
108,Product C
109,Product A
110,Product C
111,Product C
112,Product C
113,Product A
114,Product B
115,Product A
116,Product A
117,Product C
118,Product A
119,Product A
120,Product C
121,Product C
122,Product C
123,Product B
124,Product B
125,Product C
126,Product C
127,Product C
128,Product B
129,Product C
130,Product C
131,Product C
132,Product B
133,Product A
134,Product A
135,Product A
136,Product A
137,Product C
138,Product C
139,Product A
140,Product C
141,Product A
142,Product A
143,Product A
144,Product B
145,Product B
146,Product B
147,Product C
148,Product A
149,Product A
150,Product C
151,Product A
152,Product A
153,Product A
154,Product C
155,Product A
156,Product A
157,Product B
158,Product A
159,Product C
160,Product A
161,Product C
162,Product C
163,Product B
164,Product C
165,Product C
166,Product A
167,Product C
168,Product B
169,Product B
170,Product C
171,Product A
172,Product A
173,Product B
174,Product C
175,Product C
176,Product C
177,Product B
178,Product C
179,Product C
180,Product A
181,Product C
182,Product A
183,Product C
184,Product C
185,Product C
186,Product A
187,Product C
188,Product A
189,Product C
190,Product C
191,Product C
192,Product B
193,Product C
194,Product B
195,Product A
196,Product C
197,Product A
198,Product C
199,Product C
200,Product C
201,Product C
202,Product C
203,Product C
204,Product A
205,Product C
206,Product C
207,Product A
208,Product C
209,Product C
210,Product C
211,Product C
212,Product C
213,Product A
214,Product C
215,Product C
216,Product C
217,Product B
218,Product C
219,Product A
220,Product A
221,Product C
222,Product C
223,Product C
224,Product A
225,Product A
226,Product C
227,Product A
228,Product A
229,Product C
230,Product A
231,Product A
232,Product C
233,Product B
234,Product C
235,Product C
236,Product A
237,Product C
238,Product A
239,Product C
240,Product C
241,Product A
242,Product C
243,Product C
244,Product A
245,Product A
246,Product A
247,Product A
248,Product A
249,Product C
250,Product A
251,Product A
252,Product A
253,Product A
254,Product A
255,Product A
256,Product A
257,Product C
258,Product A
259,Product C
260,Product C
261,Product A
262,Product A
263,Product C
264,Product C
265,Product B
266,Product C
267,Product A
268,Product B
269,Product C
270,Product C
271,Product C
272,Product C
273,Product B
274,Product A
275,Product A
276,Product B
277,Product C
278,Product C
279,Product C
280,Product C
281,Product C
282,Product C
283,Product C
284,Product A
285,Product C
286,Product C
287,Product A
288,Product A
289,Product A
290,Product A
291,Product C
292,Product B
293,Product B
294,Product A
295,Product A
296,Product A
297,Product B
298,Product A
299,Product A
300,Product A
301,Product A
302,Product A
303,Product A
304,Product A
305,Product A
306,Product A
307,Product A
308,Product A
309,Product C
310,Product C
311,Product C
312,Product C
313,Product B
314,Product C
315,Product A
316,Product C
317,Product A
318,Product C
319,Product B
320,Product A
321,Product A
322,Product A
323,Product A
324,Product B
325,Product B
326,Product A
327,Product A
328,Product B
329,Product C
330,Product C
331,Product A
332,Product C
333,Product C
334,Product B
335,Product A
336,Product B
337,Product C
338,Product C
339,Product C
340,Product A
341,Product A
342,Product C
343,Product A
344,Product A
345,Product C
346,Product A
347,Product C
348,Product A
349,Product A
350,Product C
351,Product A
352,Product B
353,Product C
354,Product B
355,Product C
356,Product C
357,Product B
358,Product C
359,Product A
360,Product C
361,Product C
362,Product A
363,Product A
364,Product A
365,Product C
366,Product A
367,Product A
368,Product B
369,Product C
370,Product C
371,Product A
372,Product C
373,Product A
374,Product B
375,Product C
376,Product B
377,Product C
378,Product C
379,Product B
380,Product C
381,Product A
382,Product B
383,Product C
384,Product C
385,Product C
386,Product B
387,Product C
388,Product C
389,Product B
390,Product C
391,Product B
392,Product C
393,Product A
394,Product C
395,Product A
396,Product C
397,Product C
398,Product C
399,Product A
400,Product B
401,Product C
402,Product A
403,Product C
404,Product A
405,Product A
406,Product A
407,Product C
408,Product C
409,Product C
410,Product A
411,Product C
412,Product B
413,Product A
414,Product B
415,Product A
416,Product B
417,Product C
418,Product A
419,Product C
420,Product A
421,Product A
422,Product A
423,Product A
424,Product C
425,Product C
426,Product A
427,Product C
428,Product B
429,Product A
430,Product B
431,Product A
432,Product B
433,Product B
434,Product C
435,Product B
436,Product C
437,Product C
438,Product C
439,Product C
440,Product C
441,Product C
442,Product A
443,Product A
444,Product C
445,Product A
446,Product A
447,Product B
448,Product A
449,Product B
450,Product C
451,Product A
452,Product B
453,Product C
454,Product C
455,Product C
456,Product B
457,Product C
458,Product C
459,Product A
460,Product A
461,Product A
462,Product A
463,Product C
464,Product A
465,Product C
466,Product C
467,Product C
468,Product B
469,Product C
470,Product C
471,Product C
472,Product A
473,Product C
474,Product C
475,Product A
476,Product B
477,Product C
478,Product B
479,Product C
480,Product C
481,Product C
482,Product A
483,Product A
484,Product C
485,Product A
486,Product C
487,Product C
488,Product A
489,Product A
490,Product C
491,Product C
492,Product C
493,Product A
494,Product A
495,Product C
496,Product C
497,Product C
498,Product A
499,Product C
500,Product C
501,Product A
502,Product A
503,Product C
504,Product B
505,Product C
506,Product A
507,Product C
508,Product C
509,Product A
510,Product B
511,Product C
512,Product C
513,Product A
514,Product A
515,Product A
516,Product C
517,Product C
518,Product C
519,Product A
520,Product C
521,Product C
522,Product A
523,Product C
524,Product A
525,Product C
526,Product A
527,Product C
528,Product C
529,Product A
530,Product C
531,Product C
532,Product A
533,Product A
534,Product C
535,Product A
536,Product C
537,Product C
538,Product A
539,Product A
540,Product A
541,Product A
542,Product C
543,Product A
544,Product A
545,Product C
546,Product A
547,Product C
548,Product A
549,Product A
550,Product A
551,Product A
552,Product C
553,Product A
554,Product C
555,Product C
556,Product C
557,Product A
558,Product C
559,Product C
560,Product C
561,Product C
562,Product A
563,Product C
564,Product A
565,Product C
566,Product C
567,Product C
568,Product A
569,Product A
570,Product A
571,Product C
572,Product C
573,Product C
574,Product A
575,Product C
576,Product C
577,Product A
578,Product C
579,Product C
580,Product C
581,Product C
582,Product C
583,Product A
584,Product A
585,Product A
586,Product C
587,Product C
588,Product C
589,Product A
590,Product C
591,Product A
592,Product A
593,Product C
594,Product A
595,Product C
596,Product C
597,Product C
598,Product A
599,Product C
600,Product B
